Datetime,Daymet-tmax:degC,Daymet-tmin:degC,Daymet-srad:W/m2,Daymet-vp:Pa,Daymet-swe:kg/m2,Daymet-prcp:mm,Daymet-dayl:s
1980-01-01,18.13,9.05,243.93,1151.51,0,0,37198.4
1980-01-02,17.43,3.25,338.58,770.86,0,0,37222.4
1980-01-03,21.16,1.85,383.39,697.8,0,0,37248.4
1980-01-04,20.68,7.33,322.36,1024.42,0,0,37276.3
1980-01-05,18.17,8.16,267.13,1083.92,0,0,37306.1
1980-01-06,15.21,2.84,317.86,749.08,0,0,37337.9
1980-01-07,21.72,3.48,378.62,783.79,0,0,37371.5
1980-01-08,25.98,6.96,376.73,998.76,0,0,37407
1980-01-09,25.78,11.59,326.94,1364.78,0,0,37444.4
1980-01-10,27.01,14.38,300.21,1637.39,0,0,37483.6
1980-01-11,26.78,16.05,266.72,1823.37,0,0,37524.7
1980-01-12,27.4,17.23,190.56,1965.58,0,29.29,37567.5
1980-01-13,26.7,17.84,227.82,2042.4,0,0,37612.1
1980-01-14,27.54,18.68,226.43,2152.37,0,0,37658.4
1980-01-15,21.99,13.56,231.35,1553.17,0,0,37706.4
1980-01-16,24.6,10.68,335.01,1284.23,0,0,37756.1
1980-01-17,24.97,11.76,324.47,1380.05,0,0,37807.4
1980-01-18,25.23,12.15,323.12,1415.74,0,0,37860.4
1980-01-19,25.88,13,319.32,1496.91,0,0,37915
1980-01-20,24.47,13.46,289.5,1542.52,0,0,37971.2
1980-01-21,24.17,10.41,341.3,1261.18,0,0,38028.8
1980-01-22,26.9,10.54,370.65,1272.64,0,0,38088
1980-01-23,23.73,13.43,210.38,1540.04,0,13.66,38148.7
1980-01-24,17.21,6.51,305.16,968.25,0,0,38210.8
1980-01-25,21.65,3.55,406.46,787.65,0,0,38274.3
1980-01-26,26.82,7.9,302.63,1065.2,0,41.48,38339.2
1980-01-27,24.14,15.42,185.38,1751.09,0,11.15,38405.5
1980-01-28,21.68,15.45,185.87,1754.82,0,0,38473.1
1980-01-29,22.86,12.13,301.36,1413.47,0,0,38542
1980-01-30,24.09,10.44,355.46,1264.35,0,0,38612.1
1980-01-31,26.06,10.93,372.42,1305.69,0,0,38683.5
1980-02-01,15.78,6.06,296.6,938.56,0,0,38756.1
1980-02-02,16.37,1.29,300.64,670.61,0,2.87,38829.8
1980-02-03,14.96,3.92,335.62,808.25,0,0,38904.7
1980-02-04,15.35,0.77,399.3,645.52,0,0,38980.7
1980-02-05,18.95,1.84,424.82,697.23,0,0,39057.7
1980-02-06,23.04,4.51,432.45,842.76,0,0,39135.8
1980-02-07,17.55,3.07,400.27,761.18,0,0,39214.9
1980-02-08,22.19,3.8,438.42,801.43,0,0,39295
1980-02-09,25.69,7.96,423.88,1069.12,0,0,39376.1
1980-02-10,23.74,13.5,227.25,1546.42,0,6.17,39458.1
1980-02-11,17.55,9.03,274.23,1149.62,0,0,39540.9
1980-02-12,19.36,6.08,381.34,939.95,0,0,39624.7
1980-02-13,22.62,7.24,407.89,1017.74,0,1,39709.2
1980-02-14,20.22,11.37,207.43,1344.91,0,6.2,39794.6
1980-02-15,21.59,14.6,167.96,1660.91,0,7.08,39880.8
1980-02-16,25.74,14.21,252.96,1619.75,0,5.31,39967.7
1980-02-17,18.25,13.45,166.58,1541.87,0,0,40055.3
1980-02-18,17.67,7.94,242.98,1067.9,0,8.48,40143.7
1980-02-19,22.59,10.82,363.98,1296.79,0,0,40232.7
1980-02-20,24.5,9.27,424.87,1168.27,0,0,40322.4
1980-02-21,26.64,9.42,447.41,1180.42,0,0,40412.7
1980-02-22,27.72,11.53,430.35,1359.25,0,0,40503.6
1980-02-23,29.64,15.35,393.49,1743.13,0,0,40595
1980-02-24,29.43,17.48,351.81,1995.82,0,0,40687
1980-02-25,28.76,18.1,247.43,2075.85,0,8.96,40779.6
1980-02-26,18.1,10.44,276.3,1263.82,0,0,40872.6
1980-02-27,20.13,4.52,456.3,843.08,0,0,40966.1
1980-02-28,21.68,3.31,487.01,769.52,0,0,41060.1
1980-02-29,23.8,4.24,370.63,826.89,0,2.6,41154.5
1980-03-01,20.87,8.67,293.49,1121.82,0,37.72,41249.3
1980-03-02,17.68,12.6,186.5,1458.27,0,0,41344.5
1980-03-03,11.73,-2.19,452.25,519.89,0,0,41440.1
1980-03-04,20.91,-0.79,527.13,576.3,0,0,41536
1980-03-05,25.71,8.52,472.25,1111.04,0,0,41632.2
1980-03-06,26.72,12,433.02,1401.61,0,0,41728.7
1980-03-07,27.36,13.93,409.81,1590.24,0,0,41825.6
1980-03-08,28.7,15.52,402.08,1761.9,0,0,41922.6
1980-03-09,29.22,15.71,411.42,1783.66,0,0,42020
1980-03-10,29.46,16.58,401.16,1885.17,0,0,42117.5
1980-03-11,27.48,18.7,301.36,2155.58,0,0,42215.3
1980-03-12,30.09,17.51,393.29,2000.7,0,0,42313.2
1980-03-13,30.35,20.18,333.32,2362.9,0,0,42411.3
1980-03-14,25.95,17.93,289.6,2054.4,0,0,42509.6
1980-03-15,25.08,12.8,415.75,1477.23,0,0,42607.9
1980-03-16,26.48,14.45,403.22,1644.72,0,0,42706.4
1980-03-17,29.82,17.64,394.26,2016.36,0,0,42805
1980-03-18,31.19,18.65,393.54,2149.42,0,0,42903.7
1980-03-19,30.32,18.13,389.19,2080.38,0,0,43002.4
1980-03-20,30.88,19.41,369.55,2253.33,0,0,43101.1
1980-03-21,30.44,16.92,424.08,1927.15,0,0,43199.9
1980-03-22,23.99,9.28,476.94,1165.34,0,0,43298.7
1980-03-23,27.05,6.94,545.94,929.98,0,0,43397.4
1980-03-24,29.28,12.95,489.54,1423.43,0,0,43496.1
1980-03-25,31.33,16.35,455.6,1796.73,0,0,43594.8
1980-03-26,29.85,17.81,393.93,2038.38,0,0,43693.3
1980-03-27,30.41,18,299.49,2062.59,0,16.03,43791.8
1980-03-28,30.66,20.32,345.45,2384.52,0,0,43890.2
1980-03-29,31.92,19.85,392.3,2316.01,0,0,43988.5
1980-03-30,30.78,19.9,371.9,2322.27,0,0,44086.6
1980-03-31,24.76,20.91,153.43,2472.14,0,0,44184.5
1980-04-01,21.89,15.47,194.54,1757.24,0,19.26,44282.3
1980-04-02,27.95,15.76,322.37,1789.29,0,16.23,44379.8
1980-04-03,32.13,20.08,412.83,2348.43,0,0,44477.2
1980-04-04,31.23,18.94,320.93,2187.6,0,4.55,44574.2
1980-04-05,27.51,19.36,323.59,2246.74,0,0,44671.1
1980-04-06,25.89,15.15,418.85,1720.74,0,0,44767.6
1980-04-07,27.48,17.92,284.19,2052.14,0,49.73,44863.8
1980-04-08,30.03,17.33,456.96,1977.65,0,0,44959.7
1980-04-09,30.26,19.44,408.24,2257.51,0,0,45055.3
1980-04-10,27.71,18.18,380.74,2086.8,0,0,45150.5
1980-04-11,29.44,12.9,534.61,1487.4,0,0,45245.3
1980-04-12,30.58,17.08,472.85,1946.28,0,0,45339.7
1980-04-13,30.62,18.69,432.52,2154.14,0,0,45433.7
1980-04-14,26.58,22.04,143.76,2649.29,0,8.58,45527.2
1980-04-15,24.03,15.46,365.6,1755.63,0,0,45620.2
1980-04-16,25.14,10.95,517.69,1307.91,0,0,45712.8
1980-04-17,25.74,11.43,517.47,1350.41,0,0,45804.8
1980-04-18,27.05,14.6,471.47,1661.06,0,0,45896.2
1980-04-19,26.54,17.29,285.51,1972.76,0,21.04,45987.1
1980-04-20,26.42,15.02,450.8,1706.5,0,0,46077.4
1980-04-21,27.2,13.98,494.84,1595.78,0,0,46167.1
1980-04-22,29.31,14.03,529.14,1600.38,0,0,46256.1
1980-04-23,29.87,13.82,539.82,1579.52,0,0,46344.5
1980-04-24,29.55,15.95,497.67,1812.09,0,0,46432.1
1980-04-25,30.3,15.05,524.72,1709.87,0,0,46519
1980-04-26,31.61,15.94,392.98,1810.16,0,17.51,46605.2
1980-04-27,28.73,19.27,384.95,2233.28,0,0,46690.6
1980-04-28,25.23,18.33,306.88,2105.95,0,0,46775.2
1980-04-29,26.72,11.92,534.17,1394.63,0,0,46858.9
1980-04-30,28.46,12.8,536.55,1466.27,0,0,46941.8
1980-05-01,25.96,14.81,440.97,1683.75,0,0,47023.8
1980-05-02,28.29,17.43,423.23,1990.04,0,0,47104.8
1980-05-03,30.01,16.4,486.3,1864.03,0,0,47184.9
1980-05-04,31.22,18.43,460.54,2118.76,0,0,47264
1980-05-05,30.68,16.82,485.18,1915.24,0,0,47342.1
1980-05-06,30.34,15.41,507.72,1738.95,0,0,47419.2
1980-05-07,31.62,16.38,504.9,1842.23,0,0,47495.2
1980-05-08,31.42,15.14,391.93,1719.84,0,2.66,47570
1980-05-09,29.13,17.75,315.63,2031.35,0,10.36,47643.8
1980-05-10,29.35,17.61,428.77,2013.28,0,0,47716.3
1980-05-11,29.82,17.41,447.63,1987.05,0,0,47787.7
1980-05-12,30.45,16.79,475.6,1910.85,0,0,47857.9
1980-05-13,31.6,16.69,495.37,1899,0,0,47926.8
1980-05-14,33.15,19.51,453.44,2267.66,0,0,47994.3
1980-05-15,33.63,20.82,320.61,2458.31,0,20.68,48060.6
1980-05-16,33.27,21.07,414.36,2496.85,0,0,48125.5
1980-05-17,31.63,21.6,271.45,2578.4,0,4.6,48189.1
